Référence Interne,Nom du produit, Prix vente conseillé €HT, Prix vente conseillé €HT, Prix vente €TTC, Prix achat revendeur €HT, Prix achat revendeur €TTC, Eco contribution
BAS-015, Barre Olympique 15KG Cerakote - Signature (Rouge By Beawolf),"  207,50 € ","  217,88 € ","  261,45 € ","  155,63 € ","  186,76 € ","  10,38 € "
BAS-020, Barre Olympique 20KG Cerakote - Signature (Rouge By Beawolf),"  224,17 € ","  235,38 € ","  282,45 € ","  168,13 € ","  201,76 € ","  11,21 € "
BAS-215, Barre Olympique 15KG Cerakote - Signature (Bleu By Caco),"  207,50 € ","  217,88 € ","  261,45 € ","  155,63 € ","  186,76 € ","  10,38 € "
BAS-220, Barre Olympique 20KG Cerakote - Signature (Bleu By Caco),"  224,17 € ","  235,38 € ","  282,45 € ","  168,13 € ","  201,76 € ","  11,21 € "
BAS-315, Barre Olympique 15KG Cerakote - Signature (Rose By Erin),"  207,50 € ","  217,88 € ","  261,45 € ","  155,63 € ","  186,76 € ","  10,38 € "
BAS-320, Barre Olympique 20KG Cerakote - Signature (Rose By Erin),"  224,17 € ","  235,38 € ","  282,45 € ","  168,13 € ","  201,76 € ","  11,21 € "
BAS-415, Barre Olympique 15KG Cerakote - Signature (Noir By Willy),"  207,50 € ","  217,88 € ","  261,45 € ","  155,63 € ","  186,76 € ","  10,38 € "
BAS-420, Barre Olympique 20KG Cerakote - Signature (Noir By Willy),"  224,17 € ","  235,38 € ","  282,45 € ","  168,13 € ","  201,76 € ","  11,21 € "
BAS-515, Barre Olympique 15KG Cerakote - Signature (Jaune Or By Lucas),"  207,50 € ","  217,88 € ","  261,45 € ","  155,63 € ","  186,76 € ","  10,38 € "
BAS-520, Barre Olympique 20KG Cerakote - Signature (Jaune Or  By Lucas),"  224,17 € ","  235,38 € ","  282,45 € ","  168,13 € ","  201,76 € ","  11,21 € "
BAT-001, Bâton de Gym - Barre d'échauffement & Mobilité,"  5,00 € ","  5,25 € ","  6,30 € ","  3,00 € ","  3,60 € ","  0,25 € "
BAW-010, Barre Olympique Courte - Short Bar 10kg - Wod,"  150,00 € ","  157,50 € ","  189,00 € ","  105,00 € ","  126,00 € ","  7,50 € "
